day tick sun price_buy price_sell demand
5825380 6 0.0 17.0 35.0 0.5253679273040601
5825380 34 91.0 15.0 31.0 2.623062681465921
5825380 46 0.0 32.0 65.0 0.0
5825380 49 0.0 66.0 132.0 3.1421002967938376
5825381 1 0.0 21.0 43.0 0.9200006765649047
5825381 13 0.0 34.0 68.0 1.4996860646142065
5825381 39 58.0 35.0 71.0 2.98496259290658
5825381 51 0.0 51.0 102.0 1.8594139867691428
5825382 3 0.0 20.0 41.0 0.8322990224484644
5825382 15 10.0 45.0 90.0 3.20981201225175
5825382 28 97.0 17.0 34.0 3.0760282732526805
5825382 46 0.0 52.0 105.0 1.785196611897275
5825382 58 0.0 31.0 63.0 1.468852137104413
5825383 10 0.0 8.0 16.0 0.0
5825383 22 66.0 41.0 83.0 3.9687479378600745
5825383 34 91.0 22.0 45.0 3.347858663636364
5825383 46 0.0 57.0 115.0 2.2927978153553745
5825383 58 0.0 33.0 67.0 1.6512414197170386
5825384 10 0.0 27.0 54.0 1.4547485100727071
5825384 15 0.0 21.0 43.0 0.0
5825384 27 95.0 5.0 10.0 0.6025828596950873
5825384 39 58.0 33.0 67.0 2.7804196048560335
5825384 51 0.0 52.0 104.0 1.960335005989969
5825385 3 0.0 14.0 29.0 0.23125875758302689
5825385 15 0.0 28.0 57.0 0.5258179106306716
5825385 27 95.0 5.0 10.0 0.7843590736847026
5825385 40 49.0 24.0 49.0 1.402351890235652
5825385 52 0.0 60.0 121.0 3.04565196633522
5825386 4 0.0 23.0 47.0 1.1431392757939465
5825386 16 10.0 43.0 86.0 2.2229364318888716
5825386 28 97.0 9.0 19.0 2.317453010893124
5825386 40 49.0 23.0 47.0 1.3363992553276722
5825386 42 30.0 37.0 74.0 1.7032188160057573
5825386 43 20.0 57.0 115.0 3.2727660885405094
5825386 44 10.0 55.0 110.0 2.548843942859394
5825386 45 0.0 56.0 113.0 2.158504767908779
5825386 46 0.0 64.0 129.0 2.9658653819399876
5825386 47 0.0 42.0 85.0 0.7739984096487573
5825386 48 0.0 51.0 103.0 1.6951390228638674
5825386 49 0.0 55.0 111.0 2.079601860824714
5825386 50 0.0 64.0 129.0 2.9550717144479517
5825386 51 0.0 66.0 132.0 3.3501657173293493
5825386 52 0.0 29.0 58.0 0.0
5825386 53 0.0 44.0 89.0 1.6721078208218518
5825386 54 0.0 40.0 81.0 1.4731309465047906
5825386 55 0.0 62.0 124.0 3.884662980130696
5825386 56 0.0 50.0 101.0 2.9024122579599823
5825386 57 0.0 28.0 57.0 0.9660772309647805
5825386 58 0.0 41.0 82.0 2.4235816956356913
5825386 59 0.0 20.0 40.0 0.9009419748430685
5825387 1 0.0 5.0 10.0 0.0
5825387 2 0.0 13.0 26.0 0.09687842199068486
5825387 3 0.0 5.0 10.0 0.0
5825387 4 0.0 16.0 32.0 0.39530835692035604
5825387 5 0.0 12.0 25.0 0.006540472888987348
5825387 6 0.0 19.0 38.0 0.6638179993861011
5825387 7 0.0 13.0 26.0 0.0816536767475638
5825387 8 0.0 43.0 87.0 3.122391752474425
5825387 9 0.0 12.0 24.0 0.0
5825387 10 0.0 24.0 49.0 1.2321970878792818
5825387 11 0.0 33.0 66.0 1.8667375863084672
5825387 12 0.0 40.0 80.0 2.3087626620702606
5825387 13 0.0 49.0 99.0 3.0878326195246886
5825387 14 0.0 37.0 74.0 1.5765828168322655
5825387 15 0.0 29.0 58.0 0.5683941213955798
5825387 16 10.0 38.0 77.0 1.755211031896312
5825387 17 20.0 27.0 55.0 0.9468273650387409
5825387 18 30.0 33.0 67.0 1.8047087520841731
5825387 19 40.0 24.0 48.0 1.183334997267655
5825387 20 49.0 45.0 91.0 3.5250960108909224
5825387 21 58.0 33.0 67.0 2.7817176541787245
5825387 22 66.0 22.0 45.0 2.092404158924986
5825387 23 74.0 22.0 45.0 2.492267966139492
5825387 24 80.0 14.0 28.0 1.9346298006374976
5825387 25 86.0 8.0 16.0 1.6195164529893387
5825387 26 91.0 5.0 10.0 0.4612122715781106
5825387 27 95.0 11.0 23.0 2.4463578481866675
5825387 28 97.0 5.0 10.0 0.7134060600064998
5825387 29 99.0 7.0 14.0 2.1639429346642167
5825387 30 100.0 7.0 14.0 2.2033594732557873
5825387 31 99.0 10.0 20.0 2.4746607870283954
5825387 32 97.0 5.0 10.0 1.7279648214653673
5825387 33 95.0 5.0 10.0 0.04356202460249636
5825387 34 91.0 20.0 40.0 3.0573461397041397
5825387 35 86.0 12.0 25.0 2.06337384667326
5825387 36 80.0 33.0 67.0 3.89020709859548
5825387 37 74.0 19.0 39.0 2.197556991514017
5825387 38 66.0 10.0 21.0 0.8939740566001111
5825387 39 58.0 27.0 54.0 2.1392107791086543
5825387 40 49.0 29.0 59.0 2.623400802087861
5825387 42 30.0 47.0 95.0 2.7618921316389873
5825387 43 20.0 43.0 86.0 1.8048684508109618
5825387 44 10.0 37.0 75.0 0.753700741700263
5825387 45 0.0 45.0 90.0 1.040335517692219
5825387 46 0.0 46.0 92.0 1.1350807112051098
5825387 47 0.0 61.0 123.0 2.670353064743698
5825387 48 0.0 69.0 139.0 3.461325269585
5825387 49 0.0 60.0 121.0 2.550724011556417
5825387 50 0.0 48.0 97.0 1.390033482397462
